"edi_version","date"
"edi.1529.1","2/8/2024"
"edi.1529.2","2/9/2024"
"edi.1529.3","2024-03-05"
"edi.1529.4","2024-03-14"
"edi.1529.5","2024-04-14"
"edi.1529.6","2024-04-14"
"edi.1529.7","2024-04-25"
"edi.1529.8","2024-05-10"
"edi.1529.9","2024-07-29"
"edi.1529.10","2024-09-24"
"edi.1529.11","2024-09-24"
"edi.1529.12","2024-11-14"
"edi.1529.13","2024-11-27"
"edi.1529.14","2024-12-27"
"edi.1529.15","2024-12-27"
"edi.1529.16","2025-01-02"
"edi.1529.17","2025-01-17"
"edi.1529.18","2025-01-23"
"edi.1529.19","2025-02-12"
"edi.1529.20","2025-02-27"
"edi.1529.21","2025-03-12"
"edi.1529.22","2025-03-26"
"edi.1529.23","2025-04-10"
"edi.1529.24","2025-04-23"
"edi.1529.25","2025-05-14"
